location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	places_code	places	keywords
113.570400,22.142800	金光大道金沙城中心金沙广场2楼2006号铺	路凼填海区	澳门特别行政区	B0FFFGRCEK	[]	ZARA(金沙城中心店)	澳门特别行政区	00853-28853179	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.570400	22.142800	820000	澳门特别行政区	ZARA
113.565313,22.145960	望德聖母灣大馬路南150米	路凼填海区	澳门特别行政区	B0FFHWQRH8	[]	ZARA(威尼斯人店)	澳门特别行政区	00853-28828235	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.565313	22.145960	820000	澳门特别行政区	ZARA
113.569726,22.143441	金光大道金沙城中心金沙广场2楼2126号铺	路凼填海区	澳门特别行政区	B0FFHAD0TO	[]	Zara Home	澳门特别行政区	00853-28828235	购物服务;专卖店;专营店	061200	113.569726	22.143441	820000	澳门特别行政区	ZARA
114.218633,22.319623	九龙湾伟业街33号福德广场一期G01铺(近港铁九龙湾站)	观塘区	香港特别行政区	B073C0R8SX	[]	ZARA	香港特别行政区	00852-27698770	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.218633	22.319623	810000	香港特别行政区	ZARA
114.112041,22.355625	青衣青敬路33号青衣城	葵青区	香港特别行政区	B073C0R8T0	[]	ZARA	香港特别行政区	00852-24358860	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.112041	22.355625	810000	香港特别行政区	ZARA
114.221988,22.282861	太古城太古城道18号	东区	香港特别行政区	B0FFFXCED6	[]	ZARA	香港特别行政区	[]	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.221988	22.282861	810000	香港特别行政区	ZARA
114.040714,22.441278	元朗元龙街9号形点一期一楼1110-1103舖(西铁元朗站)	元朗区	香港特别行政区	B0FFHA0LMD	[]	ZARA	香港特别行政区	00852-27065532;00852-23423635	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.040714	22.441278	810000	香港特别行政区	ZARA
113.976840,22.378206	海荣路22号屯门中央广场1f/1138	屯门区	香港特别行政区	B0FFFXDRZN	[]	ZARA	香港特别行政区	[]	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.976840	22.378206	810000	香港特别行政区	ZARA
114.186740,22.275290	香港湾仔区铜锣湾勿地臣街1号F3层313-16/ 418-21	湾仔区	香港特别行政区	B073C0R8YD	[]	ZARA(时代广场)	香港特别行政区	00852-25060070	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.186740	22.275290	810000	香港特别行政区	ZARA
114.193646,22.378905	新城市廣場335号	沙田区	香港特别行政区	B073C033XS	[]	ZARA(新城市广场店)	香港特别行政区	00852-26082272	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.193646	22.378905	810000	香港特别行政区	ZARA
113.981812,22.389919	青山公路-青山湾段315号附近	屯门区	香港特别行政区	B073C0R9AG	[]	ZARA(TUEN MUN TOWER PLAZA)	香港特别行政区	00852-24041788	购物服务;服装鞋帽皮具店;品牌服装店	061101	113.981812	22.389919	810000	香港特别行政区	ZARA
114.173113,22.295653	廣東道25號海港城2210-13A-2328-9	油尖旺区	香港特别行政区	B073C048JT	[]	ZARA(海港城)	香港特别行政区	00852-26291858	购物服务;服装鞋帽皮具店;品牌服装店	061101	114.173113	22.295653	810000	香港特别行政区	ZARA
